aimValue,speedValue,isAimMap
5.07077,3.73934,1
5.21582,3.3844,1
5.54379,3.30255,1
4.45735,4.43452,NULL
4.71782,3.67656,NULL
4.65637,4.1521,NULL
5.0628,3.45002,1
4.20682,4.40633,NULL
5.08334,4.31581,NULL
4.55653,4.63999,NULL
5.10042,3.51937,1
4.80888,4.0778,NULL
4.45198,5.32622,NULL
5.66944,3.65012,1
4.65147,4.89328,NULL
4.98749,4.11118,NULL
5.10191,4.13767,NULL
4.77961,4.15208,NULL
4.84895,3.85602,NULL
5.67599,3.19598,1
5.06355,4.55084,NULL
4.17462,4.0181,NULL
4.43626,4.76275,NULL
4.70901,4.18462,NULL
5.09832,4.07381,NULL
4.49718,3.64794,NULL
4.69198,4.45701,NULL
4.92277,4.183,NULL
4.19118,4.14145,NULL
5.34674,3.81691,1
4.77641,5.17595,NULL
5.0067,3.72355,1
5.22202,3.48424,1
4.05628,4.60121,NULL
4.99013,3.41876,1
5.57697,3.7421,1
4.93927,4.20348,NULL
5.1511,3.15067,1
4.85625,3.59798,1
5.11083,3.31378,1
4.83404,3.8724,NULL
5.90536,3.73375,1
4.77235,3.72009,NULL
5.03088,3.32038,1
5.32963,3.1898,1
5.60088,4.5101,NULL
4.53944,3.81836,NULL
5.11625,3.40541,1
4.99066,4.4972,NULL
4.38895,4.43756,NULL
5.67834,3.45446,1
4.05281,3.99272,NULL
6.1471,3.95582,1
4.93987,3.72682,1
4.87973,3.83741,NULL
4.95399,4.3474,NULL
4.47401,5.16525,NULL
4.33243,4.79713,NULL
4.96244,3.54823,1
4.23431,4.61579,NULL
4.42461,4.08403,NULL
4.95069,3.78235,NULL
4.14202,4.57501,NULL
4.19494,4.55075,NULL
5.3315,3.43934,1
6.8481,4.34523,1
5.38746,3.7924,1
4.73738,3.31699,1
4.18132,3.69515,NULL
4.07379,3.98104,NULL
4.70736,3.28252,1
4.69882,4.002,NULL
4.74798,3.67911,NULL
5.01801,3.39773,1
5.43127,3.90935,1
4.25518,4.38652,NULL
4.86756,3.08259,1
4.44759,4.16468,NULL
5.00152,3.60393,1
4.83619,4.8267,NULL
6.1849,3.61921,1
5.65955,3.62425,1
5.74816,3.56489,1
4.15985,5.41417,0
4.51764,4.51487,NULL
5.03613,3.42448,1
4.63695,4.06106,NULL
4.67581,4.12151,NULL
4.34734,4.38201,NULL
5.01698,4.41206,NULL
4.63168,3.68496,NULL
6.03225,3.71368,1
4.5983,4.5443,NULL
4.84032,3.89342,NULL
4.76985,3.27982,1
4.8134,3.94868,NULL
5.05211,4.40809,NULL
4.21609,4.57076,NULL
3.88902,4.41979,NULL
3.87378,4.36793,NULL
4.90795,3.50515,1
4.09799,4.76314,NULL
4.66756,3.8785,NULL
4.27443,4.21921,NULL
4.51971,3.94741,NULL
4.15383,4.56763,NULL
3.86882,4.55801,NULL
3.75479,4.77736,NULL
5.30832,4.27603,NULL
4.00656,4.04722,NULL
4.46082,4.08436,NULL
4.87593,4.64099,NULL
4.28162,4.61442,NULL
5.53015,3.70645,1
4.54157,3.64963,NULL
4.02548,5.1852,NULL
5.15782,3.83745,1
4.64306,5.12742,NULL
4.24574,3.97168,NULL
5.41652,3.30627,1
4.71643,4.12224,NULL
3.71363,5.33332,0
5.38652,3.9284,1
4.46981,3.70785,NULL
3.957,4.69955,NULL
5.21142,3.3153,1
3.79998,4.68075,NULL
4.44861,4.46104,NULL
4.8733,3.58211,1
4.8059,3.93698,NULL
4.51071,4.17167,NULL
4.8024,4.10496,NULL
4.46865,3.65581,NULL
4.78523,4.36923,NULL
4.50898,3.75797,NULL
4.06413,4.00767,NULL
5.63103,4.30255,1
4.48054,3.90552,NULL
5.24096,3.488,1
4.06248,4.49612,NULL
4.45302,4.63462,NULL
4.24442,4.6077,NULL
4.10823,4.00951,NULL
5.04035,3.06274,1
5.74875,3.37257,1
4.45354,3.79881,NULL
4.76283,3.35565,1
5.07187,4.81146,NULL
4.59204,4.60728,NULL
4.66812,3.95844,NULL
4.07847,4.39482,NULL
4.50047,4.10782,NULL
4.30184,4.58823,NULL
4.62046,4.16544,NULL
4.12325,3.69287,NULL
5.02222,3.41659,1
4.50081,3.91018,NULL
4.51582,4.71859,NULL
4.99097,3.34926,1
4.80886,3.23381,1
4.88597,3.93429,NULL
4.9283,3.76226,NULL
4.08893,4.533,NULL
4.61824,4.371,NULL
4.34612,3.97322,NULL
4.81512,3.81197,NULL
4.69261,4.44226,NULL
5.1549,4.67656,NULL
5.28758,3.78332,1
5.05203,4.36885,NULL
4.19851,4.46987,NULL
4.76413,4.65108,NULL
4.37737,3.88652,NULL
5.0689,3.69053,1
4.30698,3.89372,NULL
5.13231,4.27551,NULL
3.83263,4.93002,NULL
4.48025,5.25579,NULL
4.63432,3.66656,NULL
3.92077,4.80939,NULL
4.80463,4.30151,NULL
5.43565,3.00253,1
4.50662,3.64056,NULL
4.21477,4.53787,NULL
4.40129,5.83652,0
4.86454,3.70064,NULL
4.80294,4.15261,NULL
4.77502,3.22222,1
4.20582,4.14986,NULL
4.30505,4.38966,NULL
4.60637,3.80503,NULL
5.55089,3.52696,1
5.27499,3.24566,1
4.40603,4.55318,NULL
3.86859,4.62178,NULL
4.30125,3.96425,NULL
3.94096,3.95334,NULL
4.47687,3.72965,NULL
4.6382,4.114,NULL
4.32533,4.58161,NULL
4.99018,4.65327,NULL
4.74988,4.30758,NULL
5.12621,3.74941,1
4.10264,4.31569,NULL
5.54515,3.81487,1
4.58966,4.11009,NULL
4.05698,4.01219,NULL
4.42696,4.46373,NULL
5.06835,4.74933,NULL
4.14382,4.62225,NULL
5.08391,3.05796,1
5.03865,3.02753,1
3.9919,3.94703,NULL
5.08763,3.30249,1
4.44998,4.64643,NULL
4.89764,3.80554,NULL
5.01916,4.16416,NULL
4.15408,3.96303,NULL
4.64596,4.36609,NULL
5.11077,3.43709,1
5.09854,3.28353,1
5.27626,2.96257,1
4.36486,4.30676,NULL
5.1309,2.9596,1
4.83557,4.39068,NULL
4.9866,3.44782,1
4.64061,4.52382,NULL
5.08436,3.25409,1
3.7248,4.60746,NULL
4.47416,5.31815,NULL
4.02453,3.8625,NULL
4.5312,3.91183,NULL
4.98492,3.49508,1
4.68916,4.11249,NULL
4.76014,4.15751,NULL
4.61783,3.90273,NULL
4.03503,4.02242,NULL
4.13283,4.10634,NULL
4.31131,3.74785,NULL
5.06712,4.36599,NULL
4.33174,4.48733,NULL
4.37332,4.59707,NULL
5.52616,3.80988,1
5.06479,3.62781,1
4.63359,3.57926,NULL
4.88195,3.46176,1
5.06562,3.11501,1
4.63507,3.46702,NULL
5.18917,3.35658,1
5.48275,3.47809,1
4.05641,3.81721,NULL
4.63601,4.21813,NULL
4.86691,3.53923,1
4.56686,4.23691,NULL
3.73927,4.48917,NULL
4.75128,4.52811,NULL
4.738,3.91538,NULL
4.63767,4.75483,NULL
3.95489,4.41699,NULL
4.57804,3.57859,NULL
4.10543,4.49421,NULL
5.51047,4.14571,1
4.5605,3.47423,NULL
4.84562,4.72205,NULL
4.89832,3.07744,1
5.0417,4.14415,NULL
4.55885,3.8722,NULL
4.35505,4.86558,NULL
4.77247,3.84093,NULL
4.89536,4.17979,NULL
3.88949,4.34164,NULL
5.44674,4.18201,1
5.17158,3.96364,1
4.3491,3.87696,NULL
3.92119,4.07885,NULL
3.99696,3.8414,NULL
5.322,3.00486,1
3.91478,3.92536,NULL
5.01199,3.27824,1
4.70775,4.4287,NULL
3.98498,4.43318,NULL
4.48541,4.73768,NULL
6.02247,3.3972,1
5.099,3.63089,1
4.82397,3.66398,NULL
4.89792,4.24648,NULL
4.08661,4.05466,NULL
4.67769,3.62301,NULL
4.37445,4.50378,NULL
4.70394,3.61267,NULL
7.16334,3.72399,1
3.70134,4.46356,NULL
4.30055,4.70837,NULL
4.95923,3.27565,1
4.20555,4.58674,NULL
4.6356,4.19423,NULL
4.11638,3.91305,NULL
4.85228,3.37821,1
4.2696,4.12612,NULL
4.16768,3.88413,NULL
4.39127,5.61813,0
4.20767,3.65495,NULL
5.84712,3.21404,1
4.20424,4.00021,NULL
